,districtText,furnishingCode,value,floorArea,bedrooms,bathrooms,pricePerSqFt,hasFloorplans,latitude,longitude
176, Boon  Lay  /  Jurong  /  Tuas ,FULL,438000,925,3,2,473.5135135,FALSE,1.341493073,103.7035763
177, Admiralty  /  Woodlands ,PART,399000,1313,3,2,303.8842346,TRUE,1.442903455,103.7959197
178, East  Coast  /  Marine  Parade ,PART,499000,818,2,1,610.0244499,TRUE,1.305136267,103.9178588
179, Hougang  /  Punggol  /  Sengkang ,PART,720000,1539,3,2,467.8362573,TRUE,1.353829075,103.8863573
180, Admiralty  /  Woodlands ,PART,400000,1087,3,2,367.9852806,TRUE,1.442578414,103.7987262
181, Hougang  /  Punggol  /  Sengkang ,PART,579000,1378,3,2,420.1741655,TRUE,1.39953,103.909721
182, Alexandra  /  Commonwealth ,UNKNOWN,310000,645,2,1,480.620155,TRUE,1.304615206,103.8002304
183, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,FULL,320000,882,2,2,362.8117914,FALSE,1.345689182,103.7416433
184, Admiralty  /  Woodlands ,PART,420000,1302,3,2,322.5806452,TRUE,1.444788679,103.802237
185, Seletar  /  Yio  Chu  Kang ,FULL,448000,1011,3,2,443.1256182,FALSE,1.393061,103.875741
186, Admiralty  /  Woodlands ,PART,410000,1302,4,2,314.9001536,TRUE,1.444472353,103.7943935
187, Admiralty  /  Woodlands ,PART,630000,1829,5,3,344.4505194,FALSE,1.437058653,103.7769083
188, Pasir  Ris  /  Tampines ,PART,540000,1582,4,2,341.3400759,FALSE,1.374392902,103.9625098
189, Hougang  /  Punggol  /  Sengkang ,PART,750000,1571,3,2,477.4029281,FALSE,1.37129301,103.8732431
190, Pasir  Ris  /  Tampines ,UNFUR,620000,1571,4,3,394.6530872,FALSE,1.366165268,103.9540944
191, Admiralty  /  Woodlands ,PART,370000,1097,3,2,337.2835005,TRUE,1.442318482,103.795795
192, Admiralty  /  Woodlands ,PART,365000,1076,3,2,339.2193309,TRUE,1.443027385,103.8027502
193, Macpherson  /  Potong  Pasir ,FULL,380000,796,2,2,477.3869347,TRUE,1.332926318,103.8686461
194, Admiralty  /  Woodlands ,PART,330000,979,3,2,337.0786517,TRUE,1.442557268,103.7753259
195, Harbourfront  /  Telok  Blangah ,PART,630000,979,3,2,643.5137896,TRUE,1.27760581,103.8081081
196, Dairy  Farm  /  Bukit  Panjang  /  Choa  Chu  Kang ,PART,598000,1572,4,3,380.4071247,FALSE,1.378307365,103.7530488
198, Hougang  /  Punggol  /  Sengkang ,FULL,660000,1022,3,2,645.7925636,TRUE,1.375991143,103.9007306
199, Hougang  /  Punggol  /  Sengkang ,FULL,360000,968,3,UNKNOWN,371.9008264,TRUE,1.38988202,103.9032538
200, Hougang  /  Punggol  /  Sengkang ,FULL,408000,1087,3,2,375.3449862,TRUE,1.351664918,103.8892783
201, Sembawang  /  Yishun ,PART,410000,1054,3,2,388.9943074,TRUE,1.431906283,103.8324863
202, Hougang  /  Punggol  /  Sengkang ,FULL,576000,1378,3,3,417.9970972,TRUE,1.399563142,103.9103838
203, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,440000,1001,3,2,439.5604396,FALSE,1.403302,103.905807
204, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,420000,1001,3,2,419.5804196,TRUE,1.402681812,103.9076668
205, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,415000,969,3,2,428.2765738,FALSE,1.402835343,103.9052687
206, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,450000,1184,3,2,380.0675676,TRUE,1.397066042,103.9053174
207, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,435000,1001,3,2,434.5654346,TRUE,1.402984,103.907767
208, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,468000,1001,3,2,467.5324675,TRUE,1.403643,103.897389
209, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,450000,1184,3,2,380.0675676,TRUE,1.391944463,103.9062018
210, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,538000,1399,4,2,384.5604003,TRUE,1.38764101,103.9062909
